0s,792s,1584s,2376s,3168s,3960s,4753s,5545s,6337s,7129s,7921s,8713s,9505s,10297s,11089s,11881s,12673s,13466s,14258s,15050s,15842s,16634s,17426s,18218s,19010s,19802s,20594s,21387s,22179s,22971s,23763s,24555s,25347s,26139s,26931s,27723s,28515s,29308s,30100s,30892s,31684s,32476s,33268s,34060s,34852s,35644s,36436s,37229s,38021s,38813s,39605s,40397s,41189s,41981s,42773s,43565s,44357s,45149s,45942s,46734s,47526s,48318s,49110s,49902s,50694s,51486s,52278s,53071s,53863s,54655s,55447s,56239s,57031s,57823s,58615s,59407s,60200s,60992s,61784s,62576s,63368s,64160s,64952s,65744s,66536s,67328s,68120s,68913s,69705s,70497s,71289s,72081s,72873s,73665s,74457s,75249s,76041s,76834s,77626s,78418s,79210s,80002s,80794s,81586s,82378s,83170s,83962s,84754s,85547s,86339s
36.7 °C,37.1 °C,37.0 °C,36.9 °C,37.0 °C,37.3 °C,36.9 °C,37.3 °C,36.9 °C,37.2 °C,36.9 °C,37.1 °C,37.0 °C,37.2 °C,36.9 °C,37.0 °C,37.2 °C,36.9 °C,37.3 °C,36.9 °C,36.9 °C,36.9 °C,37.1 °C,37.1 °C,37.2 °C,37.0 °C,36.9 °C,37.2 °C,36.9 °C,36.8 °C,36.8 °C,37.2 °C,37.1 °C,36.9 °C,37.2 °C,37.2 °C,37.3 °C,37.3 °C,36.9 °C,37.3 °C,37.1 °C,37.3 °C,36.9 °C,37.0 °C,36.8 °C,37.0 °C,36.9 °C,37.3 °C,36.9 °C,37.3 °C,37.0 °C,37.1 °C,37.0 °C,37.1 °C,37.1 °C,37.0 °C,37.1 °C,36.8 °C,37.0 °C,37.0 °C,36.9 °C,37.1 °C,37.1 °C,37.1 °C,37.0 °C,37.2 °C,37.1 °C,36.9 °C,37.2 °C,36.9 °C,37.0 °C,37.1 °C,37.1 °C,37.1 °C,37.3 °C,37.1 °C,37.1 °C,36.9 °C,37.1 °C,37.2 °C,37.1 °C,36.8 °C,37.1 °C,37.1 °C,37.1 °C,36.8 °C,37.1 °C,36.9 °C,37.0 °C,37.3 °C,36.9 °C,37.2 °C,37.3 °C,36.9 °C,37.0 °C,36.7 °C,37.2 °C,37.1 °C,37.1 °C,36.8 °C,37.2 °C,36.8 °C,37.0 °C,37.3 °C,37.1 °C,36.9 °C,36.9 °C,37.1 °C,36.9 °C,37.0 °C
0.20296,0.18976,0.21029,0.19267,0.20769,0.20472,0.20948,0.20511,0.20716,0.20323,0.20067,0.20049,0.19811,0.20122,0.19992,0.2028,0.20474,0.20519,0.20526,0.20628,0.20663,0.21197,0.21283,0.21648,0.21841,0.22219,0.22472,0.22636,0.23056,0.23562,0.23643,0.23919,0.24317,0.24434,0.24336,0.24007,0.23639,0.23008,0.2221,0.21723,0.21923,0.21446,0.21611,0.21336,0.21417,0.21432,0.21347,0.21344,0.21333,0.21371,0.21457,0.21493,0.21284,0.21449,0.21399,0.21431,0.21483,0.21471,0.21508,0.21563,0.2158,0.21539,0.21747,0.21662,0.21872,0.21841,0.21828,0.22068,0.22032,0.22264,0.22387,0.22517,0.22589,0.22767,0.23036,0.23412,0.2366,0.2388,0.24338,0.24881,0.25392,0.26081,0.26832,0.2784,0.28608,0.29774,0.31138,0.32576,0.34363,0.36048,0.37662,0.39528,0.41736,0.4362,0.45053,0.47268,0.49352,0.51696,0.54414,0.57117,0.5999,0.63336,0.6707,0.70606,0.74111,0.76988,0.79407,0.82446,0.84687,0.87234
0.19153,0.18503,0.18752,0.18304,0.18972,0.19068,0.1903,0.18068,0.17919,0.17924,0.18113,0.1816,0.18383,0.1874,0.18799,0.18809,0.19177,0.19167,0.19237,0.19689,0.19689,0.1988,0.19433,0.20274,0.2009,0.20189,0.20424,0.20888,0.22068,0.22417,0.22623,0.22982,0.23363,0.23537,0.23097,0.22938,0.2322,0.21861,0.21694,0.20516,0.20148,0.2008,0.19863,0.19862,0.19956,0.19981,0.19948,0.2005,0.20058,0.2011,0.20237,0.20303,0.20112,0.20276,0.20267,0.20308,0.20219,0.20328,0.2028,0.20269,0.20321,0.20361,0.20428,0.20333,0.20474,0.20574,0.20582,0.20724,0.20747,0.21531,0.2112,0.21262,0.21979,0.22339,0.22116,0.22361,0.2278,0.23341,0.24108,0.2428,0.25154,0.26117,0.26831,0.28158,0.29483,0.31014,0.32593,0.34353,0.36162,0.38102,0.39964,0.4186,0.43733,0.45749,0.47938,0.50297,0.52526,0.55121,0.57706,0.60926,0.64736,0.68747,0.72149,0.75489,0.78279,0.80894,0.83089,0.85349,0.88072,0.9026
0.18356,0.18871,0.18708,0.18806,0.18604,0.18842,0.1885,0.18486,0.18587,0.18663,0.18859,0.18687,0.18659,0.18668,0.18611,0.18686,0.18818,0.18871,0.18984,0.19028,0.19181,0.19352,0.19582,0.19698,0.19768,0.2013,0.20404,0.20583,0.20943,0.21279,0.21674,0.2215,0.22372,0.22888,0.23183,0.23248,0.22996,0.22451,0.21601,0.20786,0.20206,0.19946,0.19763,0.1968,0.19737,0.19711,0.19717,0.19776,0.19782,0.1981,0.19836,0.19869,0.19883,0.19929,0.19898,0.19981,0.19889,0.19839,0.19974,0.19866,0.19967,0.20029,0.20057,0.20059,0.20043,0.20177,0.20172,0.20338,0.20404,0.20331,0.20658,0.20848,0.21089,0.20922,0.21577,0.21942,0.22358,0.22828,0.2334,0.23846,0.24682,0.25513,0.26314,0.27626,0.29002,0.30527,0.32103,0.33839,0.35742,0.37563,0.39551,0.4151,0.43536,0.45523,0.47854,0.50113,0.52637,0.55059,0.57951,0.61531,0.6549,0.69398,0.72569,0.75249,0.77767,0.80657,0.83177,0.85353,0.87743,0.8983
0.25979,0.24868,0.25376,0.24961,0.25753,0.25167,0.25161,0.24907,0.24487,0.24526,0.24609,0.24577,0.24516,0.24749,0.25211,0.25294,0.25482,0.2531,0.25371,0.25624,0.2551,0.25709,0.25187,0.2609,0.26606,0.26184,0.26468,0.26993,0.2804,0.28428,0.28784,0.28374,0.29019,0.28496,0.28376,0.2779,0.27029,0.26213,0.25536,0.25272,0.2517,0.25182,0.25063,0.25031,0.2515,0.25177,0.25197,0.25329,0.2529,0.25336,0.25366,0.25407,0.25229,0.25438,0.2534,0.25277,0.25347,0.25298,0.2557,0.25351,0.25422,0.2552,0.25522,0.2565,0.25701,0.25667,0.2582,0.26076,0.26256,0.26408,0.26632,0.26972,0.27422,0.28038,0.28104,0.28698,0.29199,0.29928,0.30826,0.31711,0.33027,0.34204,0.35541,0.37443,0.39041,0.40947,0.42979,0.44757,0.46649,0.4873,0.51003,0.53188,0.55582,0.58083,0.60943,0.64402,0.6835,0.72188,0.75134,0.7831,0.81486,0.84429,0.87042,0.89491,0.92088,0.94331,0.96118,0.97519,0.97998,0.9786
0.24491,0.23787,0.23727,0.23872,0.23591,0.23948,0.24018,0.23667,0.23454,0.23946,0.2361,0.23824,0.23376,0.23707,0.23993,0.23572,0.24282,0.24356,0.24334,0.24482,0.24433,0.24639,0.24419,0.25139,0.25192,0.25131,0.25409,0.26028,0.26601,0.2713,0.27263,0.26931,0.27547,0.27006,0.26671,0.25992,0.25128,0.24379,0.23957,0.23669,0.23562,0.23553,0.23539,0.23536,0.23566,0.23468,0.23571,0.23668,0.23571,0.23572,0.23492,0.23624,0.23506,0.23552,0.23597,0.23583,0.23594,0.23504,0.23756,0.23416,0.23603,0.23604,0.23633,0.2361,0.237,0.23814,0.23914,0.24059,0.24243,0.24347,0.24466,0.24726,0.25167,0.25644,0.2578,0.26193,0.26692,0.27249,0.27943,0.28737,0.2973,0.30707,0.31819,0.33444,0.34962,0.36671,0.38581,0.40271,0.42071,0.43789,0.45786,0.47748,0.50008,0.52334,0.54822,0.57483,0.60181,0.6339,0.67229,0.712,0.74898,0.7801,0.809,0.83938,0.86644,0.89033,0.90904,0.93031,0.94653,0.95957
0.19687,0.19233,0.20274,0.19421,0.19354,0.20354,0.19986,0.19532,0.19872,0.19949,0.19958,0.19507,0.19531,0.19761,0.19559,0.19393,0.19756,0.19743,0.19726,0.19833,0.19913,0.19889,0.20112,0.20054,0.20339,0.20634,0.20913,0.21158,0.2134,0.22028,0.22333,0.22543,0.2261,0.22721,0.22946,0.2267,0.22024,0.21284,0.20627,0.20031,0.19761,0.19849,0.19731,0.19659,0.19713,0.19722,0.19718,0.19802,0.19868,0.19892,0.19894,0.19886,0.19882,0.19897,0.19913,0.19829,0.19914,0.19813,0.19973,0.19812,0.19912,0.19977,0.19862,0.19878,0.20026,0.20053,0.20091,0.20203,0.20408,0.20439,0.20543,0.20677,0.20944,0.21073,0.21391,0.21707,0.22024,0.22487,0.22898,0.23478,0.24262,0.24948,0.25744,0.26901,0.28111,0.29504,0.31171,0.3273,0.34578,0.36588,0.38484,0.4049,0.42546,0.44353,0.46501,0.49122,0.51819,0.55052,0.58563,0.62409,0.65714,0.68942,0.71976,0.75089,0.78328,0.81362,0.84107,0.8652,0.88668,0.90621
0.26749,0.26752,0.26376,0.2708,0.26948,0.27086,0.26883,0.27093,0.27432,0.26578,0.25976,0.2607,0.26141,0.25938,0.26296,0.26416,0.26304,0.26314,0.26173,0.2633,0.26513,0.26853,0.27024,0.27042,0.2758,0.26673,0.28018,0.28198,0.28653,0.28764,0.29377,0.30061,0.30719,0.31034,0.31471,0.32143,0.32682,0.32896,0.32123,0.31271,0.29917,0.2854,0.2754,0.27129,0.27163,0.2695,0.26854,0.26996,0.26969,0.26869,0.2699,0.27092,0.27076,0.27159,0.27112,0.27326,0.27066,0.27317,0.2727,0.27109,0.26711,0.27477,0.26656,0.26726,0.26943,0.27146,0.27409,0.27037,0.27147,0.27193,0.27287,0.27542,0.27626,0.27744,0.28054,0.28243,0.2852,0.28759,0.29219,0.29854,0.30248,0.30588,0.31206,0.32332,0.32993,0.33692,0.35169,0.35989,0.3753,0.39068,0.40677,0.42444,0.44002,0.45536,0.4728,0.49132,0.51356,0.53912,0.56033,0.58713,0.61104,0.64002,0.67364,0.70728,0.74444,0.77983,0.81062,0.84776,0.87414,0.90072
0.22576,0.22766,0.23318,0.22631,0.22217,0.22468,0.23387,0.22911,0.23217,0.22654,0.22856,0.2272,0.22246,0.224,0.22516,0.22799,0.22964,0.22953,0.228,0.23126,0.23187,0.23358,0.23134,0.23422,0.23778,0.22993,0.24097,0.24278,0.24357,0.24367,0.24951,0.25408,0.25939,0.26098,0.2629,0.26617,0.26801,0.26898,0.2626,0.25438,0.24661,0.24032,0.23489,0.23521,0.23532,0.23424,0.23481,0.23388,0.2337,0.23614,0.23568,0.23748,0.23623,0.23849,0.2376,0.2392,0.23749,0.23856,0.24053,0.23793,0.2415,0.24133,0.23832,0.24059,0.2405,0.23934,0.24086,0.24553,0.24392,0.24587,0.24423,0.24692,0.24938,0.24994,0.25306,0.2529,0.25583,0.25867,0.26053,0.2665,0.26957,0.27333,0.27761,0.28579,0.29103,0.299,0.31147,0.31863,0.33093,0.34797,0.36297,0.37966,0.3976,0.41302,0.4302,0.44692,0.46214,0.47799,0.4944,0.5158,0.54169,0.56978,0.59638,0.61586,0.64364,0.66936,0.70276,0.74418,0.78432,0.82094
0.22746,0.23166,0.23068,0.23202,0.23476,0.23398,0.23107,0.23244,0.23304,0.22937,0.22778,0.22804,0.22449,0.22908,0.2306,0.23184,0.23068,0.23121,0.23161,0.23144,0.23207,0.2338,0.23503,0.23427,0.2341,0.23058,0.23988,0.24248,0.24556,0.24763,0.253,0.25588,0.25943,0.26209,0.26214,0.26241,0.25902,0.25116,0.24244,0.23557,0.23082,0.22871,0.22794,0.22691,0.22741,0.22712,0.22949,0.22963,0.22876,0.22971,0.22852,0.23107,0.23078,0.23056,0.22979,0.23197,0.23054,0.23079,0.23366,0.2296,0.23176,0.2329,0.23299,0.2333,0.23278,0.23274,0.23443,0.23634,0.23654,0.23741,0.23793,0.23608,0.23853,0.24027,0.24521,0.2449,0.24787,0.25114,0.25553,0.26238,0.26686,0.2697,0.27644,0.2853,0.29414,0.30397,0.31932,0.32953,0.34476,0.3633,0.38179,0.39978,0.41846,0.43334,0.44883,0.4647,0.48409,0.50516,0.52883,0.55484,0.58232,0.6072,0.63103,0.65913,0.69639,0.73181,0.77292,0.81433,0.84904,0.87824
0.23798,0.25127,0.24711,0.24744,0.24852,0.25014,0.24233,0.25136,0.24926,0.24013,0.25128,0.23858,0.2464,0.25199,0.24862,0.24812,0.25127,0.2488,0.24887,0.25156,0.25254,0.25213,0.25331,0.25583,0.25661,0.25884,0.26028,0.26428,0.26727,0.26801,0.27298,0.27829,0.27959,0.28231,0.28431,0.28306,0.27993,0.2733,0.26314,0.25582,0.25391,0.25196,0.24998,0.24924,0.24949,0.25048,0.25179,0.25127,0.25097,0.25594,0.25242,0.25252,0.25364,0.25322,0.25289,0.25394,0.25499,0.25372,0.2562,0.25583,0.26111,0.25648,0.2571,0.2576,0.25779,0.25747,0.25817,0.25883,0.26102,0.27012,0.26636,0.26972,0.26961,0.27126,0.26579,0.26436,0.27763,0.27041,0.27329,0.28761,0.29353,0.28479,0.29923,0.30666,0.31569,0.32076,0.33251,0.3418,0.35151,0.36647,0.38299,0.40079,0.41853,0.43563,0.45502,0.46847,0.48271,0.4978,0.51163,0.51532,0.5498,0.56399,0.60162,0.63147,0.65972,0.68567,0.7151,0.7536,0.79003,0.82816
0.2238,0.22752,0.22743,0.22527,0.22186,0.22578,0.22419,0.2309,0.22514,0.22831,0.2244,0.227,0.22456,0.22852,0.22544,0.22939,0.22606,0.22894,0.22816,0.23059,0.22879,0.22889,0.23527,0.23222,0.23449,0.23608,0.23724,0.23929,0.2425,0.24406,0.24691,0.24772,0.25087,0.25436,0.2554,0.25724,0.25534,0.25119,0.24636,0.24,0.23516,0.2272,0.22403,0.22867,0.22929,0.23038,0.22519,0.22433,0.22934,0.23011,0.23241,0.22601,0.22667,0.22667,0.22569,0.22801,0.22677,0.22673,0.22759,0.23066,0.23357,0.23053,0.22852,0.22898,0.23461,0.22828,0.22959,0.23071,0.23851,0.23824,0.23092,0.23899,0.24,0.23977,0.23298,0.23173,0.24312,0.23413,0.23569,0.2495,0.25161,0.24396,0.25538,0.26237,0.25604,0.27144,0.27659,0.28163,0.28893,0.29861,0.29616,0.31971,0.3333,0.346,0.36378,0.38047,0.39719,0.41288,0.42698,0.43044,0.45438,0.45947,0.4865,0.50631,0.53384,0.56462,0.58907,0.61434,0.63729,0.66293
0.21721,0.22714,0.21798,0.22036,0.2159,0.21841,0.21712,0.21677,0.21298,0.21368,0.20858,0.21266,0.21727,0.21756,0.22087,0.22096,0.21809,0.22021,0.2183,0.22317,0.21846,0.22098,0.22212,0.22143,0.22693,0.2244,0.22631,0.22716,0.22906,0.23182,0.2347,0.23676,0.24016,0.24057,0.2434,0.24646,0.24691,0.24668,0.24096,0.23611,0.23204,0.22764,0.2219,0.21787,0.21958,0.21839,0.21976,0.21897,0.22014,0.21978,0.22038,0.2216,0.22074,0.21909,0.22056,0.22113,0.2202,0.2201,0.22109,0.22306,0.22387,0.22479,0.22386,0.2239,0.22374,0.22146,0.22463,0.22371,0.22579,0.22521,0.22201,0.22416,0.22177,0.22323,0.2231,0.22371,0.22201,0.22241,0.22484,0.22517,0.22863,0.22741,0.22803,0.23334,0.23433,0.2375,0.24168,0.24424,0.24851,0.25328,0.25869,0.26448,0.2716,0.28044,0.28854,0.30263,0.31389,0.32841,0.34371,0.36018,0.37534,0.39687,0.40854,0.42246,0.43659,0.45078,0.46834,0.4935,0.51828,0.55359
0.32038,0.32534,0.31911,0.3222,0.32814,0.32531,0.32866,0.32263,0.33513,0.33118,0.33456,0.33103,0.32604,0.33964,0.33771,0.333,0.32854,0.32926,0.33143,0.33004,0.33197,0.33519,0.33374,0.33502,0.33682,0.33757,0.33812,0.33689,0.34334,0.34044,0.34009,0.34288,0.34436,0.34439,0.34383,0.34888,0.34961,0.34947,0.34914,0.34924,0.34811,0.34651,0.34102,0.33764,0.33061,0.32689,0.32356,0.32221,0.32057,0.32197,0.32329,0.32137,0.32246,0.3242,0.32342,0.32321,0.32322,0.32233,0.32523,0.32241,0.3219,0.32334,0.32228,0.32297,0.32298,0.32381,0.32417,0.32323,0.32437,0.32532,0.32541,0.32213,0.32288,0.32276,0.32634,0.32317,0.32359,0.32408,0.32377,0.32502,0.32669,0.32369,0.32427,0.32617,0.32932,0.32812,0.32719,0.32926,0.33094,0.33169,0.33208,0.33571,0.33751,0.33494,0.33832,0.34096,0.34441,0.34922,0.34881,0.35194,0.35824,0.36498,0.37087,0.37531,0.38411,0.3904,0.39709,0.41579,0.42971,0.43538
0.23742,0.2443,0.24323,0.24511,0.24728,0.24676,0.24124,0.24668,0.24668,0.24551,0.25057,0.25141,0.24958,0.25066,0.24988,0.25454,0.2524,0.25463,0.25497,0.25546,0.2568,0.25631,0.25669,0.25711,0.255,0.25729,0.25867,0.25929,0.26213,0.26556,0.26727,0.26557,0.26686,0.26968,0.27277,0.27337,0.27518,0.27718,0.27862,0.27653,0.27373,0.26879,0.26246,0.25732,0.25344,0.2497,0.2495,0.24888,0.24829,0.24976,0.25007,0.24928,0.25176,0.24937,0.25001,0.25359,0.24947,0.24934,0.25269,0.25224,0.25233,0.25061,0.24943,0.25059,0.24933,0.25309,0.24939,0.25188,0.25531,0.25182,0.25432,0.25058,0.24882,0.24889,0.25588,0.25027,0.25127,0.25041,0.2521,0.25161,0.25471,0.25183,0.25288,0.25362,0.25557,0.25552,0.25723,0.25783,0.25968,0.26244,0.26429,0.26713,0.27043,0.27192,0.27554,0.27896,0.28234,0.285,0.28977,0.2955,0.30059,0.3097,0.31893,0.3264,0.33593,0.34727,0.35843,0.37556,0.38966,0.40533
