0s,792s,1584s,2376s,3168s,3960s,4753s,5545s,6337s,7129s,7921s,8713s,9505s,10297s,11089s,11881s,12673s,13466s,14258s,15050s,15842s,16634s,17426s,18218s,19010s,19802s,20594s,21387s,22179s,22971s,23763s,24555s,25347s,26139s,26931s,27723s,28515s,29308s,30100s,30892s,31684s,32476s,33268s,34060s,34852s,35644s,36436s,37229s,38021s,38813s,39605s,40397s,41189s,41981s,42773s,43565s,44357s,45149s,45942s,46734s,47526s,48318s,49110s,49902s,50694s,51486s,52278s,53071s,53863s,54655s,55447s,56239s,57031s,57823s,58615s,59407s,60200s,60992s,61784s,62576s,63368s,64160s,64952s,65744s,66536s,67328s,68120s,68913s,69705s,70497s,71289s,72081s,72873s,73665s,74457s,75249s,76041s,76834s,77626s,78418s,79210s,80002s,80794s,81586s,82378s,83170s,83962s,84754s,85547s,86339s
0.2986,0.30274,0.30614,0.30229,0.30778,0.30266,0.30457,0.3055,0.30136,0.30172,0.30279,0.29907,0.29837,0.30551,0.30153,0.29944,0.30413,0.30689,0.30467,0.30333,0.30151,0.3,0.30099,0.30068,0.30392,0.30239,0.30288,0.30257,0.30184,0.30233,0.30476,0.30462,0.30422,0.30437,0.30541,0.3054,0.30631,0.30753,0.30761,0.30788,0.30818,0.30561,0.30421,0.30196,0.29841,0.29474,0.29213,0.29161,0.2911,0.29072,0.29112,0.29083,0.29379,0.29092,0.29203,0.29046,0.29147,0.2903,0.29247,0.28956,0.28994,0.29083,0.28986,0.28982,0.28904,0.28974,0.29131,0.29033,0.29238,0.2911,0.28687,0.29017,0.29076,0.29104,0.29233,0.2912,0.29208,0.29031,0.29176,0.29138,0.29377,0.29046,0.29032,0.291,0.29221,0.29194,0.29278,0.29121,0.29303,0.29368,0.29367,0.29533,0.296,0.29588,0.29668,0.29808,0.29902,0.30049,0.3002,0.3021,0.30491,0.30812,0.31109,0.31347,0.31484,0.31809,0.3205,0.32923,0.33302,0.33844
0.20806,0.20871,0.20842,0.21579,0.21677,0.21012,0.20556,0.21151,0.21068,0.20854,0.209,0.21168,0.21301,0.2143,0.20752,0.20928,0.2096,0.21917,0.21898,0.2172,0.21969,0.21971,0.21124,0.2143,0.21403,0.21492,0.21512,0.21557,0.2156,0.21609,0.2164,0.22346,0.21649,0.21988,0.21963,0.22129,0.22333,0.22339,0.22421,0.22584,0.22867,0.23066,0.23158,0.23357,0.23462,0.2356,0.23479,0.23484,0.23429,0.23126,0.22651,0.21989,0.21549,0.20912,0.20786,0.208,0.20616,0.20489,0.20898,0.20528,0.21788,0.20657,0.20601,0.20696,0.2064,0.21832,0.20742,0.20839,0.20914,0.20883,0.20874,0.20926,0.20871,0.2088,0.21048,0.20989,0.20844,0.20871,0.20856,0.20928,0.21203,0.20707,0.20916,0.21029,0.21,0.21021,0.21011,0.21029,0.21093,0.21186,0.21109,0.21253,0.2136,0.21284,0.21314,0.21334,0.21319,0.21393,0.21404,0.21534,0.21398,0.21644,0.21904,0.21872,0.21872,0.22008,0.22036,0.22528,0.22448,0.22662
0.27811,0.28024,0.2787,0.28019,0.27756,0.2808,0.2831,0.28217,0.27641,0.27628,0.27514,0.27469,0.2795,0.27688,0.27244,0.27289,0.2713,0.28186,0.27964,0.27861,0.27904,0.28066,0.27401,0.27259,0.27257,0.27594,0.2721,0.27263,0.2718,0.2725,0.27419,0.27406,0.27306,0.27666,0.2761,0.27707,0.27751,0.27828,0.27911,0.27983,0.28033,0.28027,0.27998,0.27978,0.28148,0.27978,0.2801,0.2814,0.28208,0.28126,0.28524,0.28308,0.28541,0.28276,0.28468,0.28673,0.28626,0.28477,0.28794,0.2849,0.28709,0.28701,0.28729,0.28982,0.28991,0.2915,0.29006,0.29241,0.29378,0.29411,0.29403,0.29596,0.29604,0.29637,0.30013,0.30109,0.30227,0.30328,0.3076,0.30898,0.31262,0.31333,0.31596,0.31743,0.31947,0.32169,0.3234,0.32537,0.32721,0.32847,0.32739,0.32612,0.32213,0.31399,0.3078,0.29931,0.29213,0.28563,0.28152,0.28109,0.28047,0.28146,0.28229,0.28173,0.28079,0.28097,0.28046,0.28348,0.28211,0.28229
0.25668,0.23752,0.2445,0.24298,0.24497,0.25347,0.24668,0.25437,0.25012,0.24613,0.2479,0.24447,0.24891,0.24786,0.2477,0.2454,0.24403,0.24977,0.25252,0.25169,0.25102,0.2524,0.24529,0.24268,0.24401,0.2419,0.24424,0.2437,0.24441,0.24344,0.2446,0.24691,0.2464,0.24657,0.24782,0.24933,0.24842,0.25112,0.25069,0.24992,0.25162,0.25467,0.25514,0.25524,0.25832,0.25973,0.26017,0.25967,0.2573,0.25751,0.26049,0.25732,0.25394,0.24801,0.24273,0.23957,0.23518,0.23433,0.23491,0.23119,0.23223,0.23279,0.23297,0.23282,0.23454,0.23423,0.23232,0.23471,0.23599,0.23487,0.23461,0.23506,0.23477,0.23577,0.23672,0.23679,0.23707,0.23516,0.23541,0.23627,0.23841,0.23439,0.23651,0.23638,0.23686,0.23653,0.23714,0.23716,0.23809,0.23744,0.23592,0.2378,0.23898,0.23896,0.23777,0.23712,0.23724,0.23792,0.23821,0.23744,0.23816,0.23804,0.24082,0.23956,0.23986,0.23957,0.23811,0.2411,0.24091,0.24036
0.32752,0.31877,0.29894,0.3076,0.31438,0.31022,0.30118,0.31423,0.31313,0.30832,0.30664,0.30603,0.30911,0.30099,0.29603,0.29574,0.29904,0.28962,0.30417,0.29138,0.28882,0.29191,0.28821,0.29093,0.29502,0.29447,0.291,0.28903,0.30236,0.28542,0.28623,0.28577,0.28833,0.28339,0.2844,0.28756,0.287,0.28439,0.28231,0.2829,0.28292,0.28482,0.28333,0.28569,0.28381,0.28474,0.2845,0.28506,0.28427,0.28546,0.28462,0.29453,0.28698,0.2843,0.2845,0.29471,0.28809,0.28702,0.29172,0.2862,0.29028,0.29229,0.29001,0.293,0.29288,0.29334,0.29474,0.2939,0.29643,0.29473,0.29329,0.29248,0.29051,0.28751,0.28406,0.28041,0.27903,0.27661,0.27283,0.27382,0.2758,0.2732,0.27139,0.27396,0.27308,0.2734,0.27387,0.2744,0.27491,0.27372,0.27354,0.27323,0.27359,0.27207,0.2714,0.2677,0.27107,0.27094,0.26967,0.26864,0.26926,0.2702,0.27071,0.26884,0.26953,0.26936,0.26683,0.27097,0.26854,0.27002
0.18164,0.17936,0.17934,0.18603,0.18184,0.18807,0.17154,0.17566,0.1783,0.1736,0.1743,0.17399,0.17759,0.17237,0.17611,0.17153,0.17076,0.17052,0.17189,0.1724,0.17082,0.17079,0.17153,0.17176,0.17267,0.1735,0.17316,0.17287,0.17384,0.17361,0.17329,0.17317,0.17391,0.1737,0.1743,0.17362,0.17494,0.17477,0.17401,0.17353,0.17362,0.1742,0.17379,0.17371,0.17406,0.17658,0.17281,0.17474,0.17158,0.17316,0.1888,0.18969,0.17461,0.17606,0.17247,0.17276,0.19119,0.17258,0.17404,0.17166,0.17292,0.17488,0.17119,0.17277,0.17296,0.1731,0.17426,0.17266,0.17499,0.17563,0.17438,0.17579,0.17751,0.17872,0.18113,0.18197,0.18157,0.18161,0.18236,0.18237,0.18424,0.18203,0.18288,0.18366,0.18568,0.18713,0.18754,0.18898,0.1891,0.19078,0.19059,0.19217,0.1935,0.19346,0.19516,0.19654,0.19908,0.19988,0.20133,0.20229,0.20476,0.20723,0.20918,0.20931,0.21101,0.21201,0.21106,0.21598,0.21297,0.212
0.22868,0.20938,0.21822,0.22963,0.23032,0.21326,0.23029,0.20852,0.2116,0.21716,0.20817,0.21407,0.21523,0.21467,0.21684,0.21018,0.21367,0.21086,0.21059,0.21876,0.21399,0.21298,0.21561,0.21391,0.21693,0.21592,0.21741,0.21361,0.21667,0.21462,0.21638,0.21412,0.21356,0.21443,0.21779,0.21512,0.21568,0.2145,0.21351,0.21517,0.21466,0.21488,0.2148,0.21417,0.21459,0.21541,0.2145,0.21834,0.21459,0.21339,0.21681,0.21876,0.21507,0.21277,0.21214,0.21558,0.21483,0.21373,0.21604,0.21268,0.21482,0.21512,0.21377,0.21337,0.21726,0.21441,0.21451,0.21272,0.21631,0.21732,0.21299,0.21394,0.21442,0.21528,0.21674,0.21556,0.21563,0.21481,0.21557,0.21462,0.21636,0.21458,0.21394,0.21623,0.21569,0.21604,0.216,0.21518,0.21468,0.21652,0.21671,0.21789,0.21703,0.21539,0.2159,0.21594,0.21689,0.21516,0.21552,0.21568,0.21567,0.21728,0.21787,0.21676,0.2169,0.21819,0.21539,0.21937,0.21748,0.21821
0.24962,0.26083,0.26687,0.26452,0.25182,0.25586,0.26992,0.24883,0.25287,0.25359,0.24547,0.2449,0.25216,0.24738,0.2522,0.2483,0.24963,0.25557,0.2543,0.25571,0.25632,0.25503,0.25386,0.24377,0.2474,0.24848,0.24428,0.243,0.24641,0.25203,0.24322,0.2527,0.24153,0.24672,0.25011,0.25108,0.24878,0.24054,0.2423,0.24,0.23922,0.24143,0.24053,0.242,0.24987,0.24753,0.23959,0.24831,0.23878,0.24679,0.24533,0.24796,0.24871,0.23886,0.23918,0.23799,0.24208,0.24622,0.23818,0.23813,0.23739,0.23749,0.23483,0.23896,0.2373,0.23903,0.24579,0.23777,0.23854,0.24507,0.23657,0.23954,0.2388,0.23769,0.24032,0.24082,0.24156,0.24093,0.24086,0.24099,0.24329,0.24126,0.23922,0.2415,0.24183,0.24174,0.24127,0.24138,0.24181,0.24117,0.24152,0.24161,0.2406,0.23999,0.23988,0.23857,0.23968,0.23834,0.23822,0.23772,0.23838,0.24051,0.23997,0.23861,0.23974,0.23818,0.23456,0.23976,0.23642,0.2365
0.19338,0.18404,0.18341,0.18901,0.18942,0.18448,0.19164,0.18738,0.18487,0.17938,0.18113,0.18271,0.18246,0.18291,0.18912,0.18152,0.18841,0.1905,0.18966,0.19037,0.18721,0.18957,0.19079,0.18396,0.18429,0.17734,0.18083,0.1845,0.18081,0.18776,0.18491,0.17952,0.18298,0.18662,0.1843,0.18491,0.18017,0.18101,0.18639,0.18009,0.18169,0.18064,0.17816,0.18804,0.17859,0.17819,0.18691,0.18573,0.1767,0.18532,0.18837,0.17918,0.18868,0.17897,0.18846,0.18601,0.18534,0.18379,0.1888,0.17751,0.17832,0.18588,0.17658,0.18323,0.17637,0.17622,0.18553,0.18456,0.1787,0.18281,0.17771,0.17761,0.18533,0.17826,0.18098,0.18059,0.17869,0.17888,0.17839,0.17932,0.18256,0.17917,0.17783,0.17942,0.18024,0.17921,0.17931,0.17983,0.18032,0.17973,0.17981,0.17999,0.17989,0.17901,0.17907,0.17761,0.17811,0.17823,0.17636,0.17629,0.17687,0.17812,0.17768,0.1777,0.17717,0.17592,0.17561,0.17849,0.17652,0.1771
0.1758,0.18134,0.17989,0.17301,0.18092,0.18376,0.18086,0.18364,0.17382,0.17846,0.18164,0.1797,0.18054,0.17284,0.17037,0.16439,0.17094,0.17629,0.17193,0.17306,0.17698,0.16671,0.16523,0.16579,0.16527,0.16504,0.16401,0.16753,0.16596,0.16679,0.167,0.16728,0.16872,0.17104,0.17603,0.17962,0.16966,0.17336,0.18237,0.17052,0.18211,0.17059,0.17031,0.17104,0.17009,0.17006,0.16946,0.16952,0.16891,0.18262,0.18261,0.16947,0.18319,0.17041,0.18166,0.17799,0.18236,0.1691,0.18409,0.17937,0.16902,0.17964,0.16734,0.17949,0.16727,0.17887,0.16803,0.18027,0.17174,0.16912,0.16936,0.17016,0.16832,0.16934,0.17162,0.18296,0.17039,0.16949,0.17146,0.18291,0.17249,0.16914,0.17003,0.17282,0.17189,0.1706,0.17186,0.17279,0.17158,0.17226,0.17111,0.17111,0.17219,0.17078,0.16994,0.17011,0.16932,0.17048,0.16964,0.17008,0.17138,0.17027,0.17141,0.17006,0.17023,0.1694,0.16812,0.17153,0.1683,0.169
Date of measurement: 2017-06-14/Time of measurement: 10:09:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AntibioticResistanceProtocol.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\Public\Documents\Tecan\Magellan\mth\AntibioticResistanceProtocol.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062017-001.wsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\Public\Documents\Tecan\Magellan\wsp\14062017-001.wsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinite 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument serial number: 812003041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Description: [NUN24ft] - Thermo Fisher Scientific-Nunclon 24 Flat Transparent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate with Cover: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcode: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Part of Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Range: A1:D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Mode: On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Temperature: 37.0 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Wait for Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Minimum Temperature: 36.5 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Maximum Temperature: 37.5 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Kinetic Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Duration: 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Shaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Duration: 600 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Mode: Orbital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Amplitude: 2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Frequency: 280.8 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Wait (Timer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Wait Time: 00:00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Ignore wait for last kinetic cycle: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Measurement Wavelength: 600 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Measurement Bandwidth: 0 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Number of Reads: 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Settle Time: 1 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Label: OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Multiple reads per well type: FilledSquare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Multiple reads per well size: 3 x 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Border: 3000 μs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Wait (Timer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Wait Time: 00:00:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Ignore wait for last kinetic cycle: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total kinetic run time: 23h 58min 59s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
